order_id,date_commande,date_expedition,date_livraison,produit,quantite,entrepot,region,transporteur,mode_transport,delai_livraison,retard,cout_transport,priorite,statut,client_ville,poids_kg,mois,trimestre,jour_semaine,semaine_annee,annee,delai_reel,ecart_delai,cout_par_unite,cout_par_kg,saison_haute,weekend,categorie_delai
CMD-01010,2023-01-04,2023-01-08,2023-01-11,Textile Cuir,280.0,Casablanca-Port,Oriental,Ctm Express,Maritime,3.0,0.0,640.22,Urgent,Livré,Marrakech-Safi,149.6,1,1,2,1,2023,3.0,0.0,2.2865,4.279545454545455,0,0,Rapide
CMD-01011,2023-01-05,2023-01-05,2023-01-13,Dattes Medjoul,127.0,Casablanca-Port,Souss-Massa,Transatlas,Maritime,8.0,1.0,543.65,Standard,Retardé,Oriental,369.4,1,1,3,1,2023,8.0,0.0,4.280708661417322,1.4717108825121819,0,0,Standard
CMD-01012,2023-01-05,2023-01-05,2023-01-13,Agrumes Export,483.0,Casablanca-Port,Souss-Massa,Ctm Express,Route,8.0,1.0,256.68,Express,Retardé,Fès-Meknès,180.4,1,1,3,1,2023,8.0,0.0,0.5314285714285715,1.4228381374722838,0,0,Standard
CMD-01013,2023-01-05,,2023-01-09,Textile Cuir,290.0,,Souss-Massa,Sntl,Route,3.0,0.0,250.7,Standard,Livré,Fès-Meknès,87.2,1,1,3,1,2023,,,0.8644827586206896,2.8749999999999996,0,0,
CMD-01014,2023-01-06,2023-01-07,2023-01-10,Textile Cuir,147.0,Casablanca-Port,Grand Casablanca,Ctm Express,Route,3.0,0.0,308.29,Standard,Livré,Fès-Meknès,582.5,1,1,4,1,2023,3.0,0.0,2.097210884353742,0.5292532188841202,0,0,Rapide
CMD-01015,2023-01-06,2023-01-09,2023-01-15,Agrumes Export,245.0,Marrakech-Centre,Souss-Massa,Transatlas,Rail,6.0,1.0,335.67,Express,Retardé,Rabat-Salé-Kénitra,855.0,1,1,4,1,2023,6.0,0.0,1.3700816326530614,0.3925964912280702,0,0,Standard
CMD-01016,2023-01-06,2023-01-09,2023-01-11,Argan Cosmétique,300.0,Marrakech-Centre,Tanger-Tétouan-Al Hoceïma,Ctm Express,Route,2.0,0.0,222.64,Express,Livré,Grand Casablanca,51.9,1,1,4,1,2023,2.0,0.0,0.7421333333333333,4.289788053949904,0,0,Express
CMD-01017,2023-01-07,2023-01-11,2023-01-12,Agrumes Export,307.0,Tanger-Med,Souss-Massa,Ctm Express,Route,,0.0,260.1,Express,Livré,Marrakech-Safi,875.2,1,1,5,1,2023,1.0,,0.8472312703583063,0.29718921389396713,0,1,Express
CMD-01018,2023-01-07,2023-01-11,2023-01-20,Câblage Automobile,114.0,Agadir-Sud,,,,9.0,1.0,253.9,Standard,Retardé,Béni Mellal-Khénifra,346.5,1,1,5,1,2023,9.0,0.0,2.2271929824561405,0.7327561327561328,0,1,Standard
CMD-01019,2023-01-07,2023-01-07,2023-01-12,Agrumes Export,123.0,Tanger-Med,Marrakech-Safi,Maroc Logistique,Maritime,5.0,0.0,658.14,Express,Livré,Béni Mellal-Khénifra,253.8,1,1,5,1,2023,5.0,0.0,5.350731707317073,2.593144208037825,0,1,Rapide
CMD-01020,2023-01-08,2023-01-12,2023-01-17,Phosphates,301.0,Agadir-Sud,Grand Casablanca,Transatlas,Route,5.0,0.0,295.7,Express,Livré,Rabat-Salé-Kénitra,506.3,1,1,6,1,2023,5.0,0.0,0.982392026578073,0.5840410823622358,0,1,Rapide
CMD-01021,2023-01-08,2023-01-09,2023-01-09,Dattes Medjoul,359.0,Casablanca-Port,Oriental,Ctm Express,Route,0.0,0.0,398.56,Standard,Livré,Souss-Massa,645.4,1,1,6,1,2023,0.0,0.0,1.1101949860724234,0.617539510381159,0,1,
CMD-01022,2023-01-08,2023-01-09,2023-01-09,Dattes Medjoul,359.0,Casablanca-Port,Oriental,Ctm Express,Route,0.0,0.0,398.56,Standard,Livré,Souss-Massa,645.4,1,1,6,1,2023,0.0,0.0,1.1101949860724234,0.617539510381159,0,1,
CMD-01023,2023-01-09,2023-01-13,2023-01-15,Textile Cuir,306.0,Rabat-Principal,Fès-Meknès,Sntl,Route,2.0,0.0,285.6,Standard,Livré,Tanger-Tétouan-Al Hoceïma,891.7,1,1,0,2,2023,2.0,0.0,0.9333333333333335,0.32028709207132444,0,0,Express
CMD-01024,2023-01-09,2023-01-13,2023-01-14,Huile D'Olive Bio,406.0,Casablanca-Port,Béni Mellal-Khénifra,Oncf Marchandises,Aérien,1.0,,,Standard,Livré,Fès-Meknès,1003.1,1,1,0,2,2023,1.0,0.0,,,0,0,Express
CMD-01025,2023-01-10,2023-01-10,2023-01-16,Câblage Automobile,63.0,Tanger-Med,Grand Casablanca,Maroc Logistique,Route,6.0,0.0,382.73,Standard,Livré,Grand Casablanca,531.2,1,1,1,2,2023,6.0,0.0,6.0750793650793655,0.7205007530120482,0,0,Standard
CMD-01026,2023-01-10,2023-01-11,2023-01-16,Dattes Medjoul,423.0,Marrakech-Centre,Rabat-Salé-Kénitra,Ctm Express,Route,8.0,1.0,,Express,Retardé,Fès-Meknès,285.2,1,1,1,2,2023,5.0,-3.0,,,0,0,Rapide
CMD-01027,2023-01-10,2023-01-10,2023-01-10,Câblage Automobile,450.0,Tanger-Med,Rabat-Salé-Kénitra,Transatlas,Route,0.0,0.0,358.4,Urgent,Livré,Souss-Massa,140.1,1,1,1,2,2023,0.0,0.0,0.7964444444444444,2.558172733761599,0,0,
CMD-01028,2023-01-11,2023-01-12,2023-01-17,Dattes Medjoul,157.0,Fès-Industriel,Souss-Massa,Ctm Express,Aérien,5.0,1.0,821.38,Standard,Retardé,Grand Casablanca,813.1,1,1,2,2,2023,5.0,0.0,5.23171974522293,1.0101832492928298,0,0,Rapide
CMD-01029,2023-01-11,2023-01-15,,Conserves Sardines,100.0,Rabat-Principal,Grand Casablanca,Maroc Logistique,Maritime,-1.0,0.0,660.31,Standard,Livré,,495.85,1,1,2,2,2023,,,6.6030999999999995,1.3316728849450437,0,0,
CMD-01030,2023-01-11,2023-01-12,,,,Tanger-Med,Marrakech-Safi,Ctm Express,Rail,7.0,1.0,372.93,Standard,Retardé,Béni Mellal-Khénifra,,1,1,2,2,2023,,,,,0,0,
CMD-01031,2023-01-12,2023-01-13,2023-01-14,Argan Cosmétique,120.0,Fès-Industriel,Oriental,Maroc Logistique,Rail,1.0,0.0,400.0,Urgent,Livré,Marrakech-Safi,351.8,1,1,3,2,2023,1.0,0.0,3.3333333333333335,1.1370096645821488,0,0,Express
CMD-01032,2023-01-12,2023-01-13,2023-01-17,Argan Cosmétique,337.0,Casablanca-Port,Fès-Meknès,Sntl,Aérien,7.0,1.0,872.73,Standard,Retardé,Béni Mellal-Khénifra,79.8,1,1,3,2,2023,4.0,-3.0,2.5897032640949553,10.936466165413535,0,0,Rapide
CMD-01034,2023-01-13,2023-01-16,2023-01-25,Conserves Sardines,315.0,Tanger-Med,Grand Casablanca,Maroc Logistique,Rail,9.0,1.0,412.12,Express,Retardé,Rabat-Salé-Kénitra,683.0,1,1,4,2,2023,9.0,0.0,1.3083174603174603,0.6033967789165446,0,0,Standard
CMD-01035,2023-01-13,2023-01-15,2023-01-19,Phosphates,136.0,Fès-Industriel,Béni Mellal-Khénifra,Maroc Logistique,Route,4.0,0.0,251.04,Urgent,Livré,Oriental,266.5,1,1,4,2,2023,4.0,0.0,1.8458823529411763,0.9419887429643526,0,0,Rapide
CMD-01036,2023-01-14,2023-01-15,2023-01-17,Phosphates,482.0,Rabat-Principal,Oriental,Ctm Express,Maritime,-1.0,0.0,579.89,Urgent,Livré,Tanger-Tétouan-Al Hoceïma,916.8,1,1,5,2,2023,2.0,3.0,1.203091286307054,0.6325152705061082,0,1,Express
CMD-01037,2023-01-14,2023-01-14,2023-01-16,Câblage Automobile,236.0,Casablanca-Port,Oriental,Transatlas,Aérien,2.0,0.0,840.31,Express,Livré,Tanger-Tétouan-Al Hoceïma,845.3,1,1,5,2,2023,2.0,0.0,3.5606355932203386,0.9940967703773808,0,1,Express
CMD-01038,2023-01-14,2023-01-17,2023-01-19,Conserves Sardines,209.0,Rabat-Principal,Fès-Meknès,Transatlas,Maritime,2.0,0.0,583.85,Standard,Livré,Béni Mellal-Khénifra,739.6,1,1,5,2,2023,2.0,0.0,2.7935406698564593,0.7894131963223364,0,1,Express
CMD-01039,2023-01-15,2023-01-15,2023-01-19,Agrumes Export,13.0,Fès-Industriel,Oriental,Sntl,Route,4.0,0.0,205.48,Standard,Livré,Fès-Meknès,244.3,1,1,6,2,2023,4.0,0.0,15.806153846153846,0.8410970118706508,0,1,Rapide
CMD-01040,2023-01-15,2023-01-15,2023-01-20,Textile Cuir,235.0,Rabat-Principal,Grand Casablanca,Ctm Express,Rail,5.0,1.0,433.64,Express,Retardé,Grand Casablanca,389.5,1,1,6,2,2023,5.0,0.0,1.8452765957446808,1.1133247753530167,0,1,Rapide
CMD-01042,2023-01-16,2023-01-17,2023-01-19,Dattes Medjoul,355.0,Tanger-Med,Fès-Meknès,Ctm Express,Route,-1.0,0.0,241.43,Express,Livré,Béni Mellal-Khénifra,772.6,1,1,0,3,2023,2.0,3.0,0.6800845070422535,0.3124902925187678,0,0,Express
CMD-01043,2023-01-16,2023-01-16,2023-01-26,Câblage Automobile,135.0,Rabat-Principal,Souss-Massa,Maroc Logistique,Rail,10.0,1.0,417.89,Express,Retardé,Béni Mellal-Khénifra,885.4,1,1,0,3,2023,10.0,0.0,3.0954814814814813,0.47197876665913713,0,0,Standard
CMD-01044,2023-01-17,2023-01-18,2023-01-24,Câblage Automobile,265.0,,Souss-Massa,Sntl,Route,6.0,0.0,279.22,Standard,Livré,Souss-Massa,20.1,1,1,1,3,2023,6.0,0.0,1.0536603773584907,13.891542288557215,0,0,Standard
CMD-01045,2023-01-17,2023-01-20,2023-01-29,Conserves Sardines,127.0,Casablanca-Port,Souss-Massa,Maroc Logistique,Route,9.0,1.0,271.24,Standard,Retardé,Grand Casablanca,223.4,1,1,1,3,2023,9.0,0.0,2.135748031496063,1.2141450313339301,0,0,Standard
CMD-01046,2023-01-17,2023-01-17,2023-01-17,Câblage Automobile,312.0,Casablanca-Port,Rabat-Salé-Kénitra,Ctm Express,Route,0.0,0.0,349.64,Express,Livré,Béni Mellal-Khénifra,650.8,1,1,1,3,2023,0.0,0.0,1.1206410256410255,0.5372464658881377,0,0,
CMD-01047,2023-01-18,2023-01-18,2023-01-23,Textile Cuir,71.0,Casablanca-Port,Fès-Meknès,Transatlas,Maritime,5.0,0.0,629.64,Express,Livré,Rabat-Salé-Kénitra,291.8,1,1,2,3,2023,5.0,0.0,8.868169014084506,2.157779300891021,0,0,Rapide
CMD-01048,2023-01-18,2023-01-21,2023-01-21,Conserves Sardines,422.0,Fès-Industriel,Grand Casablanca,Transatlas,Route,0.0,0.0,295.44,Standard,Livré,Béni Mellal-Khénifra,687.7,1,1,2,3,2023,0.0,0.0,0.7000947867298578,0.4296059328195434,0,0,
CMD-01049,2023-01-18,2023-01-18,2023-01-27,Agrumes Export,427.0,Casablanca-Port,Marrakech-Safi,Maroc Logistique,Aérien,9.0,1.0,913.69,Standard,Retardé,,120.9,1,1,2,3,2023,9.0,0.0,2.1397892271662764,7.557402812241522,0,0,Standard
CMD-01050,2023-01-19,2023-01-23,2023-02-02,Argan Cosmétique,309.5,Casablanca-Port,Grand Casablanca,Ctm Express,Maritime,10.0,1.0,594.73,Express,Retardé,Oriental,488.4,1,1,3,3,2023,10.0,0.0,1.9215831987075929,1.2177108927108928,0,0,Standard
CMD-01051,2023-01-19,2023-01-19,2023-01-21,Conserves Sardines,427.0,,Oriental,Oncf Marchandises,Route,2.0,0.0,335.54,Express,Livré,Grand Casablanca,521.5,1,1,3,3,2023,2.0,0.0,0.7858079625292741,0.6434132310642379,0,0,Express
CMD-01053,2023-01-20,2023-01-23,2023-01-25,Conserves Sardines,478.0,Marrakech-Centre,Grand Casablanca,Transatlas,Maritime,-1.0,0.0,506.36,Express,Livré,Rabat-Salé-Kénitra,608.9,1,1,4,3,2023,2.0,3.0,1.0593305439330545,0.8315979635408114,0,0,Express
CMD-01054,2023-01-20,2023-01-20,2023-01-25,Argan Cosmétique,82.0,Fès-Industriel,Tanger-Tétouan-Al Hoceïma,Maroc Logistique,Rail,5.0,1.0,419.54,Standard,Retardé,Grand Casablanca,284.7,1,1,4,3,2023,5.0,0.0,5.116341463414634,1.4736213558131368,0,0,Rapide
CMD-01055,2023-01-21,2023-01-22,2023-02-03,Argan Cosmétique,42.0,Fès-Industriel,Grand Casablanca,Ctm Express,Maritime,15.0,1.0,527.86,Express,Retardé,Rabat-Salé-Kénitra,475.8,1,1,5,3,2023,12.0,-3.0,12.568095238095239,1.1094157208911308,0,1,Lent
CMD-01056,2023-01-21,2023-01-23,2023-01-25,Dattes Medjoul,251.0,Rabat-Principal,Fès-Meknès,Maroc Logistique,Maritime,-1.0,0.0,685.16,Express,Livré,Marrakech-Safi,561.2,1,1,5,3,2023,2.0,3.0,2.7297211155378487,1.2208838203848893,0,1,Express
CMD-01057,2023-01-21,2023-01-25,2023-02-01,Agrumes Export,8.0,,Tanger-Tétouan-Al Hoceïma,Maroc Logistique,Rail,7.0,1.0,435.02,Standard,Retardé,Souss-Massa,761.3,1,1,5,3,2023,7.0,0.0,54.3775,0.5714173124917904,0,1,Standard
CMD-01058,2023-01-22,2023-01-24,2023-01-30,Conserves Sardines,333.0,,Rabat-Salé-Kénitra,Ctm Express,Aérien,6.0,1.0,858.18,Express,Retardé,Souss-Massa,689.3,1,1,6,3,2023,6.0,0.0,2.5771171171171168,1.2450021761207022,0,1,Standard
CMD-01059,2023-01-22,2023-01-22,2023-01-26,Argan Cosmétique,304.0,Tanger-Med,Grand Casablanca,Maroc Logistique,Route,4.0,0.0,355.62,Express,Livré,Oriental,61.3,1,1,6,3,2023,4.0,0.0,1.1698026315789474,5.801305057096248,0,1,Rapide
CMD-01060,2023-01-22,2023-01-25,2023-01-28,Argan Cosmétique,168.0,,Grand Casablanca,Maroc Logistique,Rail,3.0,0.0,484.31,Standard,Livré,Oriental,784.9,1,1,6,3,2023,3.0,0.0,2.882797619047619,0.6170340170722385,0,1,Rapide
CMD-01061,2023-01-23,2023-01-25,2023-02-03,Argan Cosmétique,400.0,Tanger-Med,Marrakech-Safi,Sntl,Rail,9.0,1.0,413.41,Standard,Retardé,Béni Mellal-Khénifra,194.0,1,1,0,4,2023,9.0,0.0,1.033525,2.130979381443299,0,0,Standard
CMD-01062,2023-01-23,2023-01-23,2023-02-03,Argan Cosmétique,418.0,Rabat-Principal,Fès-Meknès,Maroc Logistique,Rail,11.0,1.0,416.7,Express,Retardé,,26.7,1,1,0,4,2023,11.0,0.0,0.99688995215311,15.606741573033707,0,0,Lent
CMD-01063,2023-01-23,2023-01-27,2023-01-29,Conserves Sardines,451.0,Casablanca-Port,Grand Casablanca,Maroc Logistique,Route,2.0,0.0,300.11,Urgent,Livré,Rabat-Salé-Kénitra,372.9,1,1,0,4,2023,2.0,0.0,0.6654323725055432,0.8048002145347279,0,0,Express
CMD-01064,2023-01-24,2023-01-24,,Câblage Automobile,397.0,Casablanca-Port,Grand Casablanca,Ctm Express,Route,6.0,0.0,396.25,Express,Livré,,484.8,1,1,1,4,2023,,,0.9981108312342569,0.8173473597359736,0,0,
CMD-01065,2023-01-24,2023-01-28,2023-01-30,Agrumes Export,401.0,Marrakech-Centre,Fès-Meknès,Ctm Express,Route,2.0,0.0,352.98,Express,Livré,Marrakech-Safi,960.1,1,1,1,4,2023,2.0,0.0,0.8802493765586036,0.36764920320799915,0,0,Express
CMD-01066,2023-01-25,2023-01-25,2023-02-04,Argan Cosmétique,431.0,Marrakech-Centre,Béni Mellal-Khénifra,Oncf Marchandises,Aérien,10.0,1.0,988.86,Standard,Retardé,,661.7,1,1,2,4,2023,10.0,0.0,2.294338747099768,1.4944234547377966,0,0,Standard
CMD-01067,2023-01-25,,2023-01-29,Câblage Automobile,134.0,Fès-Industriel,Fès-Meknès,Sntl,Route,0.0,0.0,294.03,Urgent,Livré,Grand Casablanca,764.0,1,1,2,4,2023,,,2.1942537313432835,0.38485602094240834,0,0,
CMD-01068,2023-01-25,2023-01-25,2023-01-27,Argan Cosmétique,307.0,Tanger-Med,Béni Mellal-Khénifra,Maroc Logistique,Maritime,2.0,0.0,612.95,Standard,Livré,Tanger-Tétouan-Al Hoceïma,484.0,1,1,2,4,2023,2.0,0.0,1.9965798045602607,1.2664256198347108,0,0,Express
CMD-01069,2023-01-26,2023-01-28,2023-01-31,Textile Cuir,363.0,Casablanca-Port,,,,3.0,0.0,339.4,Standard,Livré,,304.2,1,1,3,4,2023,3.0,0.0,0.9349862258953168,1.1157133464825773,0,0,Rapide
CMD-01070,2023-01-26,2023-01-29,2023-01-29,Câblage Automobile,490.0,,Béni Mellal-Khénifra,Ctm Express,Route,0.0,0.0,353.42,Express,Livré,Grand Casablanca,152.8,1,1,3,4,2023,0.0,0.0,0.721265306122449,2.312958115183246,0,0,
CMD-01071,2023-01-26,2023-01-27,2023-02-02,Câblage Automobile,88.0,Casablanca-Port,Fès-Meknès,Ctm Express,Route,6.0,0.0,259.0,Urgent,Livré,,886.0,1,1,3,4,2023,6.0,0.0,2.9431818181818183,0.29232505643340856,0,0,Standard
CMD-01072,2023-01-27,2023-01-27,2023-02-02,Huile D'Olive Bio,475.0,Casablanca-Port,,,,6.0,0.0,654.92,Urgent,Livré,Béni Mellal-Khénifra,965.5,1,1,4,4,2023,6.0,0.0,1.3787789473684209,0.6783221128948731,0,0,Standard
CMD-01073,2023-01-27,2023-01-30,2023-02-05,Dattes Medjoul,397.0,Fès-Industriel,Marrakech-Safi,Maroc Logistique,Route,6.0,0.0,386.55,Standard,Livré,,43.3,1,1,4,4,2023,6.0,0.0,0.9736775818639799,8.927251732101617,0,0,Standard
CMD-01074,2023-01-28,2023-01-30,2023-02-04,Phosphates,257.0,Marrakech-Centre,Oriental,Transatlas,Route,5.0,0.0,207.12,Express,Livré,Rabat-Salé-Kénitra,651.8,1,1,5,4,2023,5.0,0.0,0.8059143968871596,0.31776618594660944,0,1,Rapide
CMD-01075,2023-01-28,2023-01-30,2023-02-07,Argan Cosmétique,388.0,Casablanca-Port,Souss-Massa,Ctm Express,Route,8.0,1.0,382.91,Express,Retardé,Grand Casablanca,898.0,1,1,5,4,2023,8.0,0.0,0.9868814432989691,0.4264031180400891,0,1,Standard
CMD-01076,2023-01-28,2023-01-28,2023-02-04,Huile D'Olive Bio,460.0,Agadir-Sud,Souss-Massa,Maroc Logistique,Aérien,7.0,1.0,921.17,Standard,Retardé,,740.7,1,1,5,4,2023,7.0,0.0,2.0025434782608693,1.2436479006345347,0,1,Standard
CMD-01077,2023-01-29,2023-01-29,,Agrumes Export,3.0,Casablanca-Port,Grand Casablanca,Oncf Marchandises,Aérien,10.0,1.0,928.7,Standard,Retardé,Marrakech-Safi,83.1,1,1,6,4,2023,,,309.56666666666666,11.17569193742479,0,1,
CMD-01078,2023-01-29,2023-02-02,2023-02-05,,,Agadir-Sud,Oriental,Maroc Logistique,Maritime,3.0,0.0,668.25,Standard,Livré,Marrakech-Safi,,1,1,6,4,2023,3.0,0.0,,,0,1,Rapide
CMD-01079,2023-01-29,,2023-02-06,Textile Cuir,316.0,Fès-Industriel,Grand Casablanca,Maroc Logistique,Route,5.0,0.0,386.38,Express,Livré,,462.6,1,1,6,4,2023,,,1.2227215189873417,0.8352356247297881,0,1,
CMD-01080,2023-01-30,2023-01-30,2023-02-04,Conserves Sardines,247.0,Rabat-Principal,Oriental,Ctm Express,Aérien,5.0,1.0,961.34,Urgent,Retardé,Souss-Massa,40.2,1,1,0,5,2023,5.0,0.0,3.8920647773279353,23.913930348258706,0,0,Rapide
CMD-01081,2023-01-30,2023-02-01,2023-02-10,Argan Cosmétique,58.0,Casablanca-Port,Souss-Massa,Maroc Logistique,Route,9.0,1.0,220.8,Express,Retardé,Souss-Massa,842.6,1,1,0,5,2023,9.0,0.0,3.806896551724138,0.26204604794683123,0,0,Standard
CMD-01082,2023-01-30,2023-02-01,2023-02-11,Conserves Sardines,470.0,Agadir-Sud,Rabat-Salé-Kénitra,Ctm Express,Route,10.0,1.0,272.35,Standard,Retardé,Béni Mellal-Khénifra,839.8,1,1,0,5,2023,10.0,0.0,0.579468085106383,0.32430340557275544,0,0,Standard
CMD-01083,2023-01-30,2023-02-01,2023-02-11,Conserves Sardines,470.0,Agadir-Sud,Rabat-Salé-Kénitra,Ctm Express,Route,10.0,1.0,272.35,Standard,Retardé,Béni Mellal-Khénifra,839.8,1,1,0,5,2023,10.0,0.0,0.579468085106383,0.32430340557275544,0,0,Standard
CMD-01084,2023-01-31,2023-02-04,2023-02-10,Dattes Medjoul,196.0,Casablanca-Port,Fès-Meknès,Transatlas,Route,6.0,0.0,279.73,Express,Livré,Tanger-Tétouan-Al Hoceïma,409.0,1,1,1,5,2023,6.0,0.0,1.4271938775510205,0.6839364303178485,0,0,Standard
CMD-01085,2023-02-01,2023-02-01,2023-02-02,Agrumes Export,283.0,Marrakech-Centre,Tanger-Tétouan-Al Hoceïma,Ctm Express,Route,1.0,0.0,360.61,Standard,Livré,Tanger-Tétouan-Al Hoceïma,44.6,2,1,2,5,2023,1.0,0.0,1.2742402826855124,8.08542600896861,0,0,Express
CMD-01086,2023-02-01,2023-02-04,2023-02-11,Conserves Sardines,494.0,,Marrakech-Safi,Transatlas,Route,7.0,0.0,387.47,Standard,Livré,Fès-Meknès,350.9,2,1,2,5,2023,7.0,0.0,0.7843522267206479,1.10421772584782,0,0,Standard
CMD-01087,2023-02-01,2023-02-05,2023-02-11,Huile D'Olive Bio,465.0,Casablanca-Port,Souss-Massa,Oncf Marchandises,Rail,6.0,1.0,468.24,Express,Retardé,Rabat-Salé-Kénitra,243.3,2,1,2,5,2023,6.0,0.0,1.0069677419354839,1.924537607891492,0,0,Standard
CMD-01088,2023-02-02,2023-02-05,2023-02-14,Conserves Sardines,248.0,Rabat-Principal,Fès-Meknès,Sntl,Maritime,9.0,1.0,512.44,Standard,Retardé,,293.9,2,1,3,5,2023,9.0,0.0,2.0662903225806453,1.7435862538278328,0,0,Standard
CMD-01089,2023-02-02,2023-02-03,2023-02-08,Conserves Sardines,324.0,,Marrakech-Safi,Maroc Logistique,Route,7.0,0.0,219.62,Standard,Livré,,459.3,2,1,3,5,2023,5.0,-2.0,0.6778395061728395,0.47816242107554974,0,0,Rapide
CMD-01090,2023-02-02,,,Huile D'Olive Bio,209.0,Fès-Industriel,Rabat-Salé-Kénitra,Sntl,Route,4.0,0.0,264.0,Express,Livré,Béni Mellal-Khénifra,361.4,2,1,3,5,2023,,,1.263157894736842,0.7304925290536802,0,0,
CMD-01091,2023-02-03,2023-02-03,2023-02-10,Câblage Automobile,225.0,Casablanca-Port,Fès-Meknès,Ctm Express,Route,7.0,0.0,295.44,Standard,Livré,Souss-Massa,705.2,2,1,4,5,2023,7.0,0.0,1.3130666666666666,0.4189449801474759,0,0,Standard
CMD-01092,2023-02-03,2023-02-06,2023-02-10,Conserves Sardines,327.0,Casablanca-Port,Souss-Massa,Sntl,Rail,4.0,1.0,305.67,Standard,Retardé,Béni Mellal-Khénifra,798.4,2,1,4,5,2023,4.0,0.0,0.9347706422018349,0.38285320641282566,0,0,Rapide
CMD-01093,2023-02-03,2023-02-04,2023-02-14,Conserves Sardines,435.0,Casablanca-Port,Rabat-Salé-Kénitra,Maroc Logistique,Route,12.0,1.0,287.71,Express,Retardé,Oriental,640.9,2,1,4,5,2023,10.0,-2.0,0.6614022988505747,0.4489155874551412,0,0,Standard
CMD-01094,2023-02-04,2023-02-07,,Phosphates,267.0,Agadir-Sud,Grand Casablanca,Transatlas,Route,2.0,0.0,391.8,Standard,Livré,Grand Casablanca,254.8,2,1,5,5,2023,,,1.4674157303370787,1.5376766091051806,0,1,
CMD-01095,2023-02-04,2023-02-04,2023-02-07,Conserves Sardines,160.0,Rabat-Principal,Grand Casablanca,Ctm Express,Rail,3.0,0.0,312.61,Express,Livré,Rabat-Salé-Kénitra,527.3,2,1,5,5,2023,3.0,0.0,1.9538125000000002,0.5928503698084583,0,1,Rapide
CMD-01096,2023-02-05,2023-02-09,2023-02-12,Textile Cuir,441.0,,Oriental,Maroc Logistique,Route,3.0,0.0,290.8,Express,Livré,Grand Casablanca,427.5,2,1,6,5,2023,3.0,0.0,0.6594104308390023,0.680233918128655,0,1,Rapide
